SMILES,ID,LNID,WX_inventory,CASRN,MDLNumber,ComputedPrice_1g/$
CC1(C)C(C)(C)OB(C2=CN(CC3CC3)N=C2)O1,Compound 48,LN00004744,271.271g,1000801-75-1,MFCD15474887,3
CC1(C)C(C)(C)OB(C2=C(C=CC=C2)C(=O)OC)O1,Compound 49,LN00004745,39.66g,653589-95-8,MFCD05663866,3
CC1=C(C=NN1)B2OC(C)(C)C(C)(C)O2,Compound 50,LN00004750,26.87g,936250-20-3,MFCD08690235,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)[N+](=O)[O-])O1,Compound 51,LN00004751,921.438g,171364-83-3,MFCD02179437,3
CC1(C)C(C)(C)OB(C2=CC=C(C(=C2)C=O)O)O1,Compound 52,LN00004760,1.05g,620595-36-0,MFCD11846347,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2F)N)O1,Compound 53,LN00004767,48.44g,819057-45-9,MFCD09951877,3
CC1=CC=NC=C1B(O)O,Compound 54,LN00004768,37.98g,148546-82-1,MFCD03788244,3
C1=C(C=C(C(=C1)C(F)(F)F)B(O)O)F,Compound 55,LN00004838,381.36g,928053-97-8,MFCD06656275,4
C1=C(C=CC(=C1)N2C=CN=N2)B(O)O,Compound 56,LN00004846,0.6g,1228182-97-5,MFCD13189964,384
C1CCN(C1)C2=CC(=CC=C2)B(O)O,Compound 57,LN00004847,10g,659731-18-7,MFCD03095125,3
CC1(C)C(C)(C)OB(C2=CN(CCN3CCOCC3)N=C2)O1,Compound 58,LN00004854,23.98g,864754-18-7,MFCD08062342,3
CC1(C)C(C)(C)OB(C2=CC=C3CC(=O)NC3=C2)O1,Compound 59,LN00004855,34.79g,893441-85-5,MFCD11855965,16
C1=CN=C(C(=C1)B(O)O)Br,Compound 60,LN00004856,166.08g,452972-08-6,MFCD04113805,3
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)/C=C/C(=O)O)O1,Compound 61,LN00004863,91.55g,,MFCD24039620,150
C1=CC2=NC=NN2C=C1B(O)O,Compound 62,LN00004864,27.957g,1588769-34-9,MFCD18250334,88
C1=CN=CC(=C1)B(O)O,Compound 63,LN00004871,2809.21g,1692-25-7,MFCD00674177,3
C1=C(C=NN1)B(O)O,Compound 64,LN00004872,429.06g,763120-58-7,MFCD07368251,3
CC1=C(B2OC(C)(C)C(C)(C)O2)N(C)N=C1,Compound 65,LN00004879,208.596g,1047644-76-7,MFCD12400853,3
CC1(C)C(C)(C)OB(C2=CC3=NNC=C3C=C2)O1,Compound 66,LN00004885,0.88g,937049-58-6,MFCD07368067,3
CN(C)C(=O)C1=CC=C(C=C1)B(O)O,Compound 67,LN00004891,23.69g,405520-68-5,MFCD02258943,3
CC1=C(C=CC=C1B(O)O)Cl,Compound 68,LN00004892,37g,313545-20-9,MFCD04115641,3
CC1=C(C=NN1C)B2OC(C)(C)C(C)(C)O2,Compound 69,LN00004893,14.81g,1036991-40-8,MFCD09864189,3
C1=C(C=C(C(=C1)Cl)C(F)(F)F)B(O)O,Compound 70,LN00004897,299.588g,176976-42-4,MFCD03094999,3
C1=C(C=CC(=C1)B(O)O)CBr,Compound 71,LN00004907,51g,68162-47-0,MFCD01318113,3
C1=CC(=C(C(=C1)C(F)(F)F)B(O)O)Cl,Compound 72,LN00004908,0.23g,851756-52-0,MFCD09037968,12
CS(=O)(=O)C1=CC(=CC=C1)B(O)O,Compound 73,LN00004970,9.54g,373384-18-0,MFCD03092935,3
C1=C(C=C(C(=C1)C(=O)O)[N+](=O)[O-])B(O)O,Compound 74,LN00004971,11.6g,80500-28-3,MFCD10696661,7
C1=CC(=CC(=C1)C2=NNC=C2)B(O)O,Compound 75,LN00004979,0.25g,1100095-25-7,MFCD08059896,76
C1=CC(=CC(=C1)B(O)O)OC(F)(F)F,Compound 76,LN00004980,66.24g,179113-90-7,MFCD01320697,3
C1=CC(=C(C=C1)B(O)O)CO,Compound 77,LN00004987,18.48g,87199-14-2,MFCD02258966,3
COC1=CC(=CC(=C1)B(O)O)Cl,Compound 78,LN00004988,12.16g,915201-07-9,MFCD03095046,3
CS(=O)(=O)C1=C(C=CC=C1)B(O)O,Compound 79,LN00004996,3.39g,330804-03-0,MFCD02179472,3
CC(=O)NC1=CC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 80,LN00004997,5.16g,214360-60-8,MFCD02093722,3
CNC(=O)C1=CC=C(C=C1)B(O)O,Compound 81,LN00005004,8.86g,121177-82-0,MFCD03788427,3
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)C=CN3C)O1,Compound 82,LN00005005,95.94g,884507-19-1,MFCD08690255,3
CCNC(=O)NC1=CC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 83,LN00005028,45.976g,874291-00-6,MFCD08689523,32
CNC(=O)C1=CC=CC(=C1)B(O)O,Compound 84,LN00005036,26.67g,832695-88-2,MFCD04038918,3
CC1(C)C(C)(C)OB(C2=CC=C(N=C2)N3CCCCC3)O1,Compound 85,LN00005054,2.91g,852228-08-1,MFCD06798274,7
CC1=CC(=CC=C1B2OC(C)(C)C(C)(C)O2)C(=O)OC,Compound 86,LN00005093,2121.96g,473596-87-1,MFCD08669595,3
CC1(C)C(C)(C)OB(C2=CN=C(Cl)N=C2)O1,Compound 87,LN00005095,40.88g,1003845-08-6,MFCD11856048,3
CC1(C)C(C)(C)OB(C2=CC=C3C(=C2)COC3=O)O1,Compound 88,LN00005099,0.05g,862081-37-6,MFCD18251723,24
CC1(C)C(C)(C)OB(CC2=C(C=CC=C2)F)O1,Compound 89,LN00005101,0.87g,517920-60-4,MFCD10698520,55
C1=C(C=C(C(=C1)Cl)B(O)O)[N+](=O)[O-],Compound 90,LN00005129,28.63g,867333-29-7,MFCD03095323,3
C1=CC(=C(C(=C1)Cl)B(O)O)Cl,Compound 91,LN00005130,18.2g,73852-17-2,MFCD00064869,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)N3CCCC3)O1,Compound 92,LN00005134,2.18g,852227-90-8,MFCD08060504,15
COCC1=C(C=CC=C1)B(O)O,Compound 93,LN00005151,8.77g,126617-98-9,MFCD03412110,3
C1=C(C=CC(=C1)B(O)O)C#N,Compound 94,LN00005152,330.74g,126747-14-6,MFCD01318968,3
C1=CC(=CC(=C1)B(O)O)C#N,Compound 95,LN00005170,245.55g,150255-96-2,MFCD01318967,3
C1=C(C=C(C(=C1)B(O)O)Cl)C(F)(F)F,Compound 96,LN00005185,21.71g,254993-59-4,MFCD02684337,3
CC1=CC(=CC(=C1)B(O)O)F,Compound 97,LN00005186,6.23g,850593-06-5,MFCD07363785,3
C1=CC(=C(C=C1)B(O)O)CBr,Compound 98,LN00005202,5.24g,91983-14-1,MFCD01318941,3
C1=C(C=C(C=C1C(F)(F)F)Cl)B(O)O,Compound 99,LN00005203,274.41g,1160561-31-8,MFCD07778020,3
CC1(C)C(C)(C)OB(C2=CC3=CN=C(NC)N=C3C=C2)O1,Compound 100,LN00005246,1g,913067-91-1,MFCD09834730,3
CC1(C)C(C)(C)OB(C2=CN(C3=C2C=CC=C3)S(=O)(=O)C4=CC=CC=C4)O1,Compound 101,LN00005247,6.87g,870717-93-4,MFCD08276778,5
CCOC1=C(C=C(C=C1Cl)B(O)O)Cl,Compound 102,LN00005254,48.726g,1107604-10-3,MFCD08701776,19
C1=CC2=NNC=C2C(=C1)B(O)O,Compound 103,LN00005257,25.507g,1023595-17-6,MFCD09878901,3
C1=C(C(=NC(=C1)Cl)Cl)B(O)O,Compound 104,LN00005258,43.89g,148493-34-9,MFCD03094989,3
CC1=CC=C(C=C1C#N)B(O)O,Compound 105,LN00005261,13.554g,911210-49-6,MFCD10697414,26
C1=C(C=CC(=C1)S(=O)(=O)N2CCOCC2)B(O)O,Compound 106,LN00005262,20.506g,486422-68-8,MFCD06659844,3
CC1=CN=CC=C1B(O)O,Compound 107,LN00005266,7.1g,894808-72-1,MFCD03095365,3
CC1(C)C(C)(C)OB(C2=CC=NN2C3CCCCO3)O1,Compound 108,LN00005267,92.64g,903550-26-5,MFCD09037501,3
CC1(C)C(C)(C)OB(C2=CC=C(C(=C2)OC)O)O1,Compound 109,LN00005271,1.09g,269410-22-2,MFCD02093723,3
CC1(C)C(C)(C)OB(C2=CN=C(C(=C2)OC)OC)O1,Compound 110,LN00005275,0.1g,1083168-92-6,MFCD11857651,87
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)S(=O)(=O)NC)O1,Compound 111,LN00005276,0.2g,1073353-47-5,MFCD06657895,22
CC1(C)C(C)(C)OB(C2=CN=C(N)N=C2)O1,Compound 112,LN00005280,270.036g,402960-38-7,MFCD06795685,3
CC1(C)C(C)(C)OB(C2=CN(CCOC)N=C2)O1,Compound 113,LN00005288,5.63g,847818-71-7,MFCD12405649,3
CC1(C)C(C)(C)OB(C2=CC(=CN2)C(=O)OC)O1,Compound 114,LN00005293,129.014g,1268619-58-4,MFCD16652311,3
CC1=C(C=CC=C1)CB2OC(C)(C)C(C)(C)O2,Compound 115,LN00005302,4.52g,390381-02-9,MFCD22493391,139
CC(=CB1OC(C)(C)C(C)(C)O1)C,Compound 116,LN00005303,224.09g,126689-00-7,MFCD09842762,3
CC1=CC(=CC=C1B(O)O)O,Compound 117,LN00005353,4.34g,493035-82-8,MFCD03788424,11
CC1=C(Br)N=CC(=C1)B(O)O,Compound 118,LN00005354,329.5g,1003043-34-2,MFCD08274468,3
C1=C(C=C(C#N)C(=C1)F)B(O)O,Compound 119,LN00005372,22.61g,214210-21-6,MFCD03095130,3
CN1C=CC2=C1C=CC(=C2)B(O)O,Compound 120,LN00005379,55.8g,192182-55-1,MFCD03412070,3
C1=C(C=CC(=C1)N)B(O)O.Cl,Compound 121,LN00005380,37.68g,80460-73-7,MFCD03001333,3
C1=CC(=C(C=C1)O)B(O)O,Compound 122,LN00005381,160.32g,89466-08-0,MFCD01074581,3
C1=C(C(=NC=C1Br)F)B(O)O,Compound 123,LN00005388,460.76g,501435-91-2,MFCD04039317,3
CCN1C=C(C=N1)B2OC(C)(C)C(C)(C)O2,Compound 124,LN00005389,28.14g,847818-70-6,MFCD09864188,3
CC1=NN(CC2=CC=C(C=C2)OC)C=C1B3OC(C)(C)C(C)(C)O3,Compound 125,LN00005390,11.87g,1569085-44-4,MFCD16877289,3
C1=C(C=C(C(=C1)Cl)B(O)O)C(F)(F)F,Compound 126,LN00005391,127.009g,182344-18-9,MFCD00797335,3
C1=C(C=C(C(=C1)Cl)C(=O)O)B(O)O,Compound 127,LN00005392,57g,913835-32-2,MFCD06801689,3
CC1(C)C(C)(C)OB(C2=CC=C(C(=O)OC)N=C2)O1,Compound 128,LN00005398,10.06g,957065-99-5,MFCD08063051,5
COC1=C(C(=CC(=C1)B(O)O)F)F,Compound 129,LN00005399,290.194g,925910-42-5,MFCD09907960,3
COC1=CC=C(C(=C1)B(O)O)Br,Compound 130,LN00005400,14.3g,89694-44-0,MFCD06659859,3
CC(C)(C1=CN=CC(=C1)B2OC(C)(C)C(C)(C)O2)O,Compound 131,LN00005403,0.1g,1257431-63-2,MFCD15143417,65
CC1(C)C(C)(C)OB(C2=CN(C3CCCCO3)N=C2)O1,Compound 132,LN00005404,492.43g,1003846-21-6,MFCD16556148,3
CC1(C)C(C)(C)OB(C2=CC=C3C(=C2)NC(=O)CO3)O1,Compound 133,LN00005408,267.185g,943994-02-3,MFCD12755796,3
CC1(C)C(C)(C)OB(C2=CN=C(C3CC3)N=C2)O1,Compound 134,LN00005413,0.25g,1375301-91-9,MFCD12032616,3
CC1(C)C(C)(C)OB(C2=CC=CC(=C2)S(=O)(=O)N)O1,Compound 135,LN00005489,8.22g,486422-08-6,MFCD07781217,3
C1(=NC=CC=2C=C(C=CC12)B3OC(C(O3)(C)C)(C)C)O,Compound 136,LN00005503,5.075g,1219130-56-9,MFCD18426474,32
C1=CC(=CC(=C1)C(F)F)B(O)O,Compound 137,LN00005505,148.097g,854690-87-2,MFCD09864670,3
CC1(C)C(C)(C)OB(C2=CN=C(C=C2)C#N)O1,Compound 138,LN00005511,5.18g,741709-63-7,MFCD06657825,3
C1=C(C=C(C(=C1)O)B(O)O)F,Compound 139,LN00005513,15.07g,259209-20-6,MFCD03095357,3
CC1=CC=C(C=C1C)B(O)O,Compound 140,LN00005514,9.88g,55499-43-9,MFCD01009694,3
CC1(C)C(C)(C)OB(C2=CCC3(CC2)OCCO3)O1,Compound 141,LN00005519,939.77g,680596-79-6,MFCD04115656,3
CC(C)C1=C(C=CC=C1)B(O)O,Compound 142,LN00005521,81.31g,89787-12-2,MFCD03411937,3
C1=C(C=C(C(=C1)Cl)B(O)O)CO,Compound 143,LN00005522,2.5g,1003042-59-8,MFCD06656270,4
CNS(=O)(=O)C1=CC=C(C=C1)B(O)O,Compound 144,LN00005532,69.632g,226396-31-2,MFCD06659864,21
CCO/C=C/B1OC(C)(C)C(C)(C)O1,Compound 145,LN00005537,20436.4g,1201905-61-4,MFCD09998813,3
COC1=C(C=CC(=C1)B(O)O)C#N,Compound 146,LN00005538,1.36g,677777-45-6,MFCD10696655,3
CC1(C)C(C)(C)OB(C2=CC=CC3=C2C=CN3)O1,Compound 147,LN00005613,13.4g,388116-27-6,MFCD08689896,3
CC1=CC(=CC=N1)B(O)O,Compound 148,LN00005614,683.186g,579476-63-4,MFCD03095364,3
COC1=CC=C(C=N1)B(O)O,Compound 149,LN00005621,95.56g,163105-89-3,MFCD02093044,3
COC1=NC=C(C=C1B(O)O)Br,Compound 150,LN00005622,351.288g,850864-59-4,MFCD04973352,4
COC1=CC(=CN=C1)B(O)O,Compound 151,LN00005633,100.53g,850991-69-4,MFCD03425977,3
COC1=C(C(=CC=C1F)F)B(O)O,Compound 152,LN00005634,0.35g,919355-30-9,MFCD11856009,62
CC1=C(C=CC=C1B(O)O)F,Compound 153,LN00005635,1618.6g,163517-61-1,MFCD07368679,3
CC(=O)NC1=CC(=CC=N1)B2OC(C)(C)C(C)(C)O2,Compound 154,LN00005640,491.937g,1220220-21-2,MFCD11878181,3
COC1=CC(=CC=C1B(O)O)C(=O)O,Compound 155,LN00005641,0.59g,741699-09-2,MFCD10696665,3
CCC1=C(C)C=C(C=C1C)B(O)O,Compound 156,LN00005642,1.93g,1315340-57-8,MFCD12026737,4
COC1=CC(=CC=C1C(=O)O)B(O)O,Compound 157,LN00005649,196.799g,851335-12-1,MFCD06656278,3
CC1=CC=C(C(=C1F)B(O)O)Br,Compound 158,LN00005650,249.49g,957061-15-3,MFCD09258741,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCC3=CC=CC=C3)O1,Compound 159,LN00005651,25.91g,754226-40-9,MFCD04974107,3
CCOC(C)N1C=C(C=N1)B2OC(C)(C)C(C)(C)O2,Compound 160,LN00005655,142.44g,1029716-44-6,MFCD11857753,3
CCS(=O)(=O)C1=CC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 161,LN00005656,1.647g,1436867-18-3,MFCD21362375,3
CCOC(=O)CN1C=C(C=N1)B2OC(C)(C)C(C)(C)O2,Compound 162,LN00005663,18.96g,864754-16-5,MFCD08706026,6
C1=C(C=CC(=C1)N2CCOCC2)B(O)O,Compound 163,LN00005665,186.449g,186498-02-2,MFCD03095169,3
CC(C)(C)COC(=O)C1=CC=C(C=C1B(O)O)Cl,Compound 164,LN00005674,2.9g,1315476-05-1,MFCD01631848,222
COC1=CC=C(C=C1B(O)O)C#N,Compound 165,LN00005675,10.77g,612833-37-1,MFCD06801691,11
CC1(C)C(C)(C)OB(C2=CC=C(C(=C2)Cl)O)O1,Compound 166,LN00005683,3.07g,629658-06-6,MFCD09260490,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(F)F)O1,Compound 167,LN00005687,0.98g,1234319-14-2,MFCD16996278,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)N)O1,Compound 168,LN00005689,578.25g,214360-73-3,MFCD02093721,3
CC1=C(C=CC=C1B2OC(C)(C)C(C)(C)O2)N,Compound 169,LN00005696,18.95g,882678-96-8,MFCD11054038,10
CC1(C)C(C)(C)OB(C2=CC=C3C(=C2)CCCO3)O1,Compound 170,LN00005732,109.348g,1002727-88-9,MFCD12028565,17
CS(=O)(=O)C1=CC=C(C=C1)B(O)O,Compound 171,LN00005742,19.99g,149104-88-1,MFCD01630820,3
CC1(C)C(C)(C)OB(C2=CC=CC(=C2)S(=O)(=O)NC)O1,Compound 172,LN00005743,25.016g,1293987-69-5,MFCD22190800,32
COC(=O)C1=CC=C(C=N1)B(O)O,Compound 173,LN00005750,11.03g,1072945-86-8,MFCD09800559,3
CC1=C(B(O)O)SC=C1,Compound 174,LN00005751,1g,177735-09-0,MFCD00236049,3
COC1=CC=C(C(=C1Cl)B(O)O)Cl,Compound 175,LN00005753,1g,851756-57-5,MFCD11865199,3
CC1(C)C(C)(C)OB(C2=CN=C(C(=C2)C(F)(F)F)N)O1,Compound 176,LN00005759,6478.22g,947249-01-6,MFCD12923414,17
C1=CC(=C(C=C1)N)B(O)O,Compound 177,LN00005760,28.8g,5570-18-3,MFCD01074645,3
CC1(C)C(C)(C)OB(C2=CC3=C(C(=CC=C3)OC)N2)O1,Compound 178,LN00005766,0.88g,1072812-69-1,MFCD11858357,3
C1=C(C=C(C(=C1)Cl)B(O)O)C(=O)O,Compound 179,LN00005767,406.61g,913835-75-3,MFCD08689491,3
C1=C(C=C(C(=C1)O)F)B(O)O,Compound 180,LN00005768,0.38g,182344-14-5,MFCD06659838,3
CC1(C)C(C)(C)OB(C2=CN=C(C#N)N=C2)O1,Compound 181,LN00005773,16.009g,1025708-31-9,MFCD08669562,3
CC1(C)C(C)(C)OB(C2=CC(=CN=C2)C(F)(F)F)O1,Compound 182,LN00005785,109.959g,1084953-47-8,MFCD12198142,3
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)C=CN3)O1,Compound 183,LN00005870,23.126g,642494-36-8,MFCD07368852,8
CC1=CN=CC(=C1)B(O)O,Compound 184,LN00005871,20.13g,173999-18-3,MFCD03428528,3
C1=CN=C(C(=C1)B(O)O)Cl,Compound 185,LN00005878,93.42g,381248-04-0,MFCD03094997,3
CC1=CC=C(C=N1)B(O)O,Compound 186,LN00005879,32.37g,659742-21-9,MFCD06801736,3
C1=C(C=NC(=C1)C(F)(F)F)B(O)O,Compound 187,LN00005885,663.33g,868662-36-6,MFCD07375381,3
CC1=CSC(=C1)B(O)O,Compound 188,LN00005886,13.41g,162607-15-0,MFCD01319040,3
CC(C)OC1=CC=C(C=N1)B2OC(C)(C)C(C)(C)O2,Compound 189,LN00005904,5.29g,871839-91-7,MFCD07368871,9
C1=CC(=C(C=C1)B(O)O)C(=O)O,Compound 190,LN00005905,20.93g,149105-19-1,MFCD01318118,3
CC1=NN(C)C=C1B2OC(C)(C)C(C)(C)O2,Compound 191,LN00005913,47.04g,1046832-21-6,MFCD09864190,3
C1=CC(=CC(=C1)Cl)B(O)O,Compound 192,LN00007815,386.7g,63503-60-6,MFCD00161354,3
CCOC(=O)C1=CC(=CC=C1)B(O)O,Compound 193,LN00007833,36.6g,4334-87-6,MFCD02179444,3
CC(=O)C1=CC(=CC=C1)B(O)O,Compound 194,LN00007856,26.6g,204841-19-0,MFCD01074678,3
CC1(C)C(C)(C)OB(C2=CN=CC=C2)O1,Compound 195,LN00007933,26.2g,329214-79-1,MFCD03084758,3
C1=CN=C(C=C1B(O)O)Cl,Compound 196,LN00007966,27.05g,458532-96-2,MFCD03788416,3
CCOC1=CC=C(C=C1)B(O)O,Compound 197,LN00008034,36.22g,22237-13-4,MFCD00674028,3
C1=CC=C(C=C1)B(O)O,Compound 198,LN00008129,4455.26g,98-80-6,MFCD00002103,3
C1=C(C=CC(=C1)B(O)O)C(F)(F)F,Compound 199,LN00008164,976.45g,128796-39-4,MFCD00151855,3
C1=C(C=CC(=C1)F)B(O)O,Compound 200,LN00008272,1317.54g,1765-93-1,MFCD00039136,3
C1=C(C=CC(=C1)Cl)B(O)O,Compound 201,LN00008273,2046.94g,1679-18-1,MFCD00039137,3
C1=CC(=C(C=C1F)B(O)O)C(=O)O,Compound 202,LN00008406,1g,874290-62-7,MFCD06656266,3
CC1(C)C(C)(C)OB(B2OC(C)(C)C(C)(C)O2)O1,Compound 203,LN00008537,75947.8g,73183-34-3,MFCD00799570,3
C1=C(C=C(C=C1B(O)O)[N+](=O)[O-])C(=O)O,Compound 204,LN00008564,11.39g,101084-81-5,MFCD00757433,3
C1=C(C=CC(=C1)I)B(O)O,Compound 205,LN00008579,18.74g,5122-99-6,MFCD01319014,3
CB(O)O,Compound 206,LN00008674,1838.34g,13061-96-6,MFCD00002105,3
CC(NC1=CC=CC(B(O)O)=C1)=O,Compound 207,LN00008688,88.13g,78887-39-5,MFCD00236013,3
CC(=O)C1=CC=C(C=C1)B(O)O,Compound 208,LN00008713,35.58g,149104-90-5,MFCD01074667,3
CC1(C)COB(B2OCC(C)(C)CO2)OC1,Compound 209,LN00008721,337.42g,201733-56-4,MFCD02093062,3
C1=CC(=NC=C1B(O)O)Cl,Compound 210,LN00008731,24.84g,444120-91-6,MFCD03094998,3
C=CCB1OC(C)(C)C(C)(C)O1,Compound 211,LN00008794,2378g,72824-04-5,MFCD00013347,3
